"Source:","C:\Users\ole\SynologyDrive\projects\thatmicpre\thatmicpre.sch"
"Date:","08.06.2020 19:30:36"
"Tool:","Eeschema (5.1.4)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","81"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C2, ","2","470p","C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","Unpolarized capacitor","RDE5C2A471J0M1H03A"
"C3, ","1","47p","C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","Unpolarized capacitor","RDE5C2A470J0M1H03A"
"C5, C4, ","2","47u-63V-BP","C","Capacitor_THT:C_Radial_D10.0mm_H16.0mm_P5.00mm","Unpolarized capacitor","UVP1J470MPD"
"C6, ","1","100n","C","Capacitor_THT:C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Unpolarized capacitor","R82EC3100AA70J"
"C8, C12, C10, C7, ","4","220u-63V","CP1","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","Polarized capacitor, US symbol","UPW1J221MPD"
"C11, C16, C14, C19, ","4","47u-50V","CP1","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","Polarized capacitor, US symbol","UFW1H470MED1TD"
"C13, ","1","3300u-6V3","CP1","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","Polarized capacitor, US symbol","UFW0J332MPD"
"C17, C15, C9, ","3","10n","C","Capacitor_THT:C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Unpolarized capacitor","PHE426DJ5100JR05"
"C18, ","1","1000u-25V","CP1","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","Polarized capacitor, US symbol","UVZ1E102MPD1CM"
"D1, D3, D4, D2, D7, ","5","1N4004","D","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","Diode","1N4004GP-E3/54"
"D8, D13, D5, D6, D19, D18, ","6","1N4148","D","Diode_THT:D_DO-34_SOD68_P7.62mm_Horizontal","Diode","1N4148"
"D14, D10, ","2","LED","LED","LED_THT:LED_D3.0mm","Light emitting diode","LTL-4232N"
"D15, D16, D17, ","3","18V","D_Zener","Diode_THT:D_DO-34_SOD68_P7.62mm_Horizontal","Zener diode","BZX55B18-TAP"
"F1, ","1","Polyfuse","Polyfuse","Fuse:Fuse_BelFuse_0ZRE0005FF_L8.3mm_W3.8mm","Resettable fuse, polymeric positive temperature coefficient","0ZRC0015FF1E"
"H1, H2, H3, H4, ","4","M3","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad","Mounting Hole with connection",""
"J1, ","1","Barrel_Jack_Switch","Barrel_Jack_Switch","Connector_BarrelJack:BarrelJack_Horizontal","DC Barrel Jack with an internal switch","CON-SOCJ-2155"
"J2, ","1","NC3FBH1","XLR3","my_kicad_footprints:Jack_XLR_Neutrik_NC3FBH1_Horizontal","XLR Connector, Male or Female, 3 Pins","NC3FBH1"
"J3, ","1","NC3MBH1","XLR3","my_kicad_footprints:Jack_XLR_Neutrik_NC3MBH_Horizontal","XLR Connector, Male or Female, 3 Pins","NC3MBH"
"LOGO1, ","1","Logo_Open_Hardware_Small","Logo_Open_Hardware_Small","Symbol:OSHW-Symbol_6.7x6mm_Copper","Open Hardware logo, small",""
"LOGO2, ","1","Logo_Open_Hardware_Small","Logo_Open_Hardware_Small","Symbol:Symbol_CC-Attribution_CopperTop_Small","Open Hardware logo, small",""
"LOGO3, ","1","Logo_Open_Hardware_Small","Logo_Open_Hardware_Small","Symbol:Symbol_CreativeCommons_CopperTop_Type2_Small","Open Hardware logo, small",""
"LOGO4, ","1","SYM_Arrow_Normal","SYM_Arrow_Normal","Symbol:Symbol_Barrel_Polarity","Filled arrow, 200mil",""
"Q2, Q1, ","2","BC546C","Q_NPN_CBE","Package_TO_SOT_THT:TO-92_Inline_Wide","NPN transistor, collector/base/emitter","BC546CTA"
"R2, R1, ","2","1k2-0.1%","R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, US symbol","YR1B1K21CC"
"R3, R4, ","2","10R-1W","R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, US symbol","CPF110R000FEB14"
"R6, R5, ","2","6k8-0.1%-0.5W","R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, US symbol","CMF556K8100BEEK"
"R7, R10, ","2","22k","R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, US symbol","MBB02070C2202FCT00"
"R8, ","1","47k","R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, US symbol","MBB02070C4702FCT00"
"R14, ","1","1M0","R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, US symbol","MBB02070C1004FCT00"
"R15, ","1","2k7","R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, US symbol","MBB02070C2701FC100"
"R16, ","1","1k0","R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, US symbol","MBB02070C1001FC100"
"R17, ","1","560R","R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, US symbol","MBB02070C5600FC100"
"R18, ","1","270R","R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, US symbol","MBB02070C2700FC100"
"R19, ","1","150R","R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, US symbol","MBB02070C1500FC100"
"R20, ","1","82R","R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, US symbol","MFR50SFTE52-82R"
"R21, ","1","47R","R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, US symbol","MFR50SFTE52-47R"
"R22, ","1","27R","R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, US symbol","MFR50SFTE52-27R"
"R23, ","1","15R","R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, US symbol","MFR50SFTE52-15R"
"R24, ","1","8R2","R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, US symbol","MFR50SFTE52-8R2"
"R25, ","1","10R","R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, US symbol","CPF110R000BHE14"
"R26, R29, ","2","100R","R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, US symbol","MFR50SFTE52-100R"
"R27, R13, R9, R30, ","4","10k","R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, US symbol","MBB02070C1002FCT00"
"R28, ","1","4k7","R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, US symbol","MBB02070C4701FCT00"
"SW2, SW1, ","2","SW_DPDT_x2","SW_DPDT_x2","Button_Switch_THT:SW_Push_2P2T_Vertical_E-Switch_800UDP8P1A1M6","Switch, dual pole double throw, separate symbols","200MDP1T2B2M6QE"
"SW3, ","1","SW_Rotary12","SW_Rotary12","my_kicad_footprints:LORINCK1049","rotary switch with 12 positions","SR2612F-0112-38F5B-D8-S"
"U1, ","1","THAT1510P08-U","SSM2017P","Package_DIP:DIP-8_W7.62mm","Self-Contained Audio Preamplifier, DIP-8","THAT1510P08-U"
